state,year,category,cost
Alaska,2017,entertainment,2702.222967534084
Alaska,2017,food,7591.893111875184
Alaska,2017,healthcare,4934.467077832289
Alaska,2017,housing,19751.73
Alaska,2017,miscellaneous,859.7982169426631
Alaska,2017,personal_care,687.8385735541303
Alaska,2017,personal_insurance,6878.385735541305
Alaska,2017,reading,121.34425685306783
Alaska,2017,tobacco,303.3606421326697
Alaska,2017,transportation,9963.802729650342
Alaska,2018,alcohol,453.6680732091904
Alaska,2018,apparel,1737.699694959468
Alaska,2018,cash_contributions,2030.0
Alaska,2018,education,1366.351736208398
Alaska,2018,entertainment,2838.808729608774
Alaska,2018,food,7372.106189649345
Alaska,2018,healthcare,5160.393612210701
Alaska,2018,housing,19633.17
Alaska,2018,miscellaneous,903.2573230573372
Alaska,2018,personal_care,722.6058584458697
Alaska,2018,personal_insurance,7226.058584458697
Alaska,2018,reading,119.04409292466735
Alaska,2018,tobacco,297.6102323116684
Alaska,2018,transportation,9971.411507658078
Alaska,2019,alcohol,450.2824997338615
Alaska,2019,apparel,1671.5750489858578
Alaska,2019,cash_contributions,2030.0
Alaska,2019,education,1396.5069596878243
Alaska,2019,entertainment,2876.24604687224
Alaska,2019,food,7317.090620675249
Alaska,2019,healthcare,5280.455893916126
Alaska,2019,housing,19485.14
Alaska,2019,miscellaneous,915.1691967320762
Alaska,2019,personal_care,732.135357385661
Alaska,2019,personal_insurance,7321.35357385661
Alaska,2019,reading,118.08403660342682
Alaska,2019,tobacco,295.2100915085671
Alaska,2019,transportation,9688.061079792167
Alaska,2021,alcohol,525.8175151841373
Alaska,2021,apparel,1770.7519493681473
Alaska,2021,cash_contributions,2030.0
Alaska,2021,education,1421.7071138488773
Alaska,2021,entertainment,3005.149617220255
Alaska,2021,food,8544.53462174223
Alaska,2021,healthcare,5485.790025369348
Alaska,2021,housing,21144.44
Alaska,2021,miscellaneous,956.1839691155355
Alaska,2021,personal_care,764.9471752924286
Alaska,2021,personal_insurance,7649.471752924285
Alaska,2021,reading,135.92479021920172
Alaska,2021,tobacco,339.8119755480043
Alaska,2021,transportation,11552.068183512409
Alaska,2022,alcohol,559.1420609305919
Alaska,2022,apparel,1798.4558124183231
Alaska,2022,cash_contributions,2030.0
Alaska,2022,education,1444.292019690863
Alaska,2022,entertainment,3209.116732869313
Alaska,2022,food,9086.058490122115
Alaska,2022,healthcare,5644.412844498575
Alaska,2022,housing,21152.77
Alaska,2022,miscellaneous,1021.082596822054
Alaska,2022,personal_care,816.8660774576433
Alaska,2022,personal_insurance,8168.660774576433
Alaska,2022,reading,141.9633540499665
Alaska,2022,tobacco,354.90838512491626
Alaska,2022,transportation,12893.606170494666
Alaska,2023,alcohol,562.0831999999999
Alaska,2023,apparel,1756.51
Alaska,2023,cash_contributions,2030.0
Alaska,2023,education,1518.7011000000002
Alaska,2023,entertainment,3409.329
Alaska,2023,food,9133.852
Alaska,2023,healthcare,5785.528
Alaska,2023,housing,22518.84
Alaska,2023,miscellaneous,1084.7865000000002
Alaska,2023,personal_care,867.8292000000001
Alaska,2023,personal_insurance,8678.292000000001
Alaska,2023,reading,140.52079999999998
Alaska,2023,tobacco,351.302
Alaska,2023,transportation,12295.57
Arizona,2008,alcohol,382.242041594395
Arizona,2008,apparel,1640.3911850917857
Arizona,2008,cash_contributions,2030.0
Arizona,2008,education,937.5916697088652
Arizona,2008,entertainment,2384.5337694589016
Arizona,2008,food,6211.433175908918
Arizona,2008,healthcare,3797.994153222315
Arizona,2008,housing,16338.17
Arizona,2008,miscellaneous,758.7152902823777
Arizona,2008,personal_care,606.9722322259023
Arizona,2008,personal_insurance,6069.722322259022
Arizona,2008,reading,101.822698441275
Arizona,2008,tobacco,254.5567461031875
Arizona,2008,transportation,9226.090250799329
