GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
 "42000","Pennsylvania",2,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",591536.8,579211.9,597832.3,617513.9,632010.6,629977.7,648176.4,666522.6,681043.0,679230.8,707494.5,720634.9,768051.4,794192.5,760573.2,761197.0
 "44000","Rhode Island",1,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",47301.5,46171.9,48728.4,49727.9,51074.4,49609.5,51370.6,52166.5,52637.7,53507.5,54755.1,57027.8,61177.9,62126.4,58179.7,60638.1
 "45000","South Carolina",5,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",183085.3,181659.9,181307.2,185814.6,190915.1,190790.8,200044.3,211939.4,217880.7,227075.1,234088.9,247857.4,263936.1,271462.7,265626.4,274590.5
 "46000","South Dakota",4,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",43125.8,41638.2,41935.3,45296.1,43913.6,43823.6,45650.4,48212.1,48483.0,49372.8,48578.4,50605.9,55364.7,61319.5,62237.5,62803.6
 "47000","Tennessee",5,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",267391.7,270265.1,272917.9,280614.2,286578.0,286206.9,293297.5,307763.2,311535.3,322332.7,346277.2,355957.2,381063.3,406460.9,391980.6,398094.7
 "48000","Texas",6,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",1120909.7,1075852.1,1113308.5,1196635.6,1239768.8,1251439.6,1318145.1,1342796.0,1327627.4,1408033.3,1470536.8,1510475.9,1554394.2,1663205.1,1673439.2,1727121.3
 "49000","Utah",7,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",104127.9,97472.5,101138.6,103644.8,108592.8,111380.8,116910.4,126146.1,132904.4,136627.2,147988.6,154961.5,170930.2,188929.4,187352.6,191734.1
 "50000","Vermont",1,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",28313.3,27918.5,28864.0,29949.5,29952.8,29818.6,31246.1,31450.1,32220.9,31908.2,32442.0,33849.9,35069.4,36678.1,35147.2,37243.0
 "51000","Virginia",5,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",386846.7,384428.5,389491.6,402526.5,415618.4,402518.1,413271.3,430399.8,441055.9,457656.4,461792.7,485394.5,503138.6,521083.1,511101.4,530512.8
 "53000","Washington",8,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",310770.0,299091.6,307765.6,316238.7,335705.6,337698.1,352660.3,371323.6,383757.3,394607.9,413969.6,434333.6,464180.3,482070.8,461585.1,483701.5
 "54000","West Virginia",5,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",74258.9,76036.2,75391.4,77458.5,77707.7,75509.0,77071.2,77820.9,77291.9,79711.4,81513.8,83892.3,88204.7,88032.9,86003.1,86502.1
 "55000","Wisconsin",3,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",263753.5,258383.6,259228.3,269994.4,274484.7,273572.1,280358.3,293608.2,296208.4,302158.3,309369.2,315503.8,338035.3,350422.2,340655.3,342612.8
 "56000","Wyoming",7,SARPP,1,"..."," Real personal income (millions of constant (2017) dollars) 1/","Millions of constant 2017 dollars",31798.3,29028.2,30338.0,31718.2,33932.4,32960.5,34582.4,34774.3,32431.4,33506.7,36180.7,36595.1,39239.9,41320.3,41771.6,43813.0
 "00000","United States", ,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",45816,44204,44808,45957,46796,46358,47661,49396,49828,51006,52242,53683,56501,59153,57052,57937
 "01000","Alabama",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",42242,41995,41757,41846,41612,41349,42001,43826,43568,44464,46435,47134,50183,52707,50630,50039
 "02000","Alaska",8,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",51624,50046,53121,54737,55069,53511,55466,56504,54410,54005,55410,56835,58487,57520,58320,58470
 "04000","Arizona",6,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",38967,36641,37167,38404,39287,39214,40285,41957,42582,44298,45693,47239,50269,54232,50856,51373
 "05000","Arkansas",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",40983,40970,40280,41286,43018,42409,44097,45431,45893,46837,48481,48247,51195,54650,54888,55330
 "06000","California",8,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",43801,42404,43519,44857,46169,45838,47489,50073,51845,52604,53481,55932,60008,63194,58928,59940
 "08000","Colorado",7,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",46677,44290,44903,45646,46717,47737,50261,51333,50938,52744,56591,57865,59744,64129,64644,65589
 "09000","Connecticut",1,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",61514,60539,63476,62986,62600,60178,62126,63352,64060,64666,68094,69073,70057,73110,68981,72040
 "10000","Delaware",2,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",45923,45268,44778,47055,46582,46593,46902,49650,49881,50844,52105,52672,54954,56272,56282,55936
 "11000","District of Columbia",2,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",60529,59777,61224,63348,64033,61738,63619,67900,70258,72446,72449,74148,78379,80587,77304,80060
 "12000","Florida",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",43264,41222,42761,43281,43201,42288,43829,45708,46141,48141,49937,52127,53853,56443,54430,55153
 "13000","Georgia",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",42027,41967,40688,42370,41427,41340,42964,45160,45908,47162,48285,49761,52199,53857,51597,51429
 "15000","Hawaii",8,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",42839,41152,41968,41994,42541,40538,42364,43528,45063,45836,45676,46706,48230,49904,48551,50602
 "16000","Idaho",7,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",38633,37037,37923,38343,39441,39837,40827,42369,43476,43677,46317,48036,52230,55615,53668,53944
 "17000","Illinois",3,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",48415,45573,45786,46628,48182,48740,50197,52746,52600,53031,54888,56185,58814,60496,58388,60693
 "18000","Indiana",3,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",43045,41599,42305,43987,44692,44362,45287,47429,48117,49153,49295,50331,54036,56891,55333,55174
 "19000","Iowa",4,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",49431,46716,46319,49063,49601,49440,49947,52193,51995,52518,52148,52367,55657,59628,60081,58735
 "20000","Kansas",4,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",51282,48299,47376,49878,50982,51540,51211,51652,51703,52843,53374,54419,57229,59476,59919,61032
 "21000","Kentucky",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",41032,40970,40634,41303,41635,41147,42161,44002,44228,44982,45924,46959,50615,53332,50831,50820
 "22000","Louisiana",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",47048,45972,45712,45363,46373,46138,46963,47125,45906,47178,49184,49921,52708,55297,53109,55317
 "23000","Maine",1,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",42076,42256,43057,44299,43666,42445,45784,46054,46346,47140,47980,50596,53155,55911,52816,55685
 "24000","Maryland",2,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",50561,49375,50624,51126,51755,49957,50708,52484,53810,54693,55318,56850,58445,59857,58615,60223
 "25000","Massachusetts",1,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",54461,54176,55690,56410,57056,56782,57329,60363,59826,61742,63341,65374,68017,72200,67908,69512
 "26000","Michigan",3,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",41948,40151,40984,42715,43523,43131,44084,47212,48003,48940,48952,49308,53583,55526,53426,53915
 "27000","Minnesota",4,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",49860,46758,48224,50071,51551,50842,51745,54105,54489,55756,55421,56754,60123,63085,61833,61227
 "28000","Mississippi",5,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",39184,39758,39144,39422,40015,39978,40143,40953,41074,41756,42877,43788,47531,49979,46533,47239
 "29000","Missouri",4,SARPP,2,"..."," Real per capita personal income (constant (2017) dollars) 2/","Constant 2017 dollars",47099,45186,43938,44788,45807,45178,45689,47602,48730,48939,49937,50659,54222,56607,55878,56659
